condition,ng_per_mcl,batch
control,21.5852225,Batch 1
control,93.41855584,Batch 1
control,89.48138819,Batch 1
control,55.71970706,Batch 2
control,55.41391457,Batch 2
control,41.8217619,Batch 2
control,44.55118415,Batch 2
control,63.43548866,Batch 2
atorva,34.79107193,Batch 1
atorva,57.62720403,Batch 1
atorva,56.45528967,Batch 1
atorva,27.87687076,Batch 2
atorva,32.52192834,Batch 2
atorva,13.25382331,Batch 2
atorva,21.35579122,Batch 2
atorva,30.60494203,Batch 2
traz25,37.28169605,Batch 1
traz25,61.93296949,Batch 1
traz25,66.7097677,Batch 1
traz25,44.39377019,Batch 2
traz25,40.78480291,Batch 2
traz25,37.61681537,Batch 2
traz25,90.02622639,Batch 2
traz25,54.15173593,Batch 2
traz50,3.13525049,Batch 1
traz50,31.68968654,Batch 1
traz50,42.44311503,Batch 1
traz50,15.96171032,Batch 2
traz50,25.63535778,Batch 2
traz50,22.23935868,Batch 2
traz50,11.38555603,Batch 2
traz50,27.82355259,Batch 2
traz100,29.55905402,Batch 1
traz100,34.16715645,Batch 1
traz100,35.66281836,Batch 1
traz100,19.96210344,Batch 2
traz100,8.219146124,Batch 2
traz100,24.43625348,Batch 2
traz100,28.24475719,Batch 2
traz100,29.1761104,Batch 2
