condition,animal,rabbit,tissue,std1,std2,tc99_tid,tissue_piece_i,tissue_length,tissue_mass,tc99_cpm,per_dose_perg,per_dose_percm
traz_high,1,traz_high_1,aorta,206552,192317,458699350,1,2,0.3686,107094,0.063340529,0.0116736594947
traz_high,1,traz_high_1,aorta,206552,192317,458699350,2,2,0.4066,107455,0.057614411,0.0117130097563
traz_high,1,traz_high_1,aorta,206552,192317,458699350,3,1.8,0.4278,114993,0.058600659,0.013927423289
traz_high,1,traz_high_1,aorta,206552,192317,458699350,4,2.1,0.4713,118190,0.054670767,0.0122696821367143
traz_high,1,traz_high_1,aorta,206552,192317,458699350,5,1.7,0.3635,84327,0.050574793,0.0108140807385294
traz_high,1,traz_high_1,aorta,206552,192317,458699350,6,1.7,0.2712,67739,0.054452895,0.0086868383082353
traz_high,1,traz_high_1,aorta,206552,192317,458699350,7,2,0.2492,75768,0.066284145,0.008259004467
traz_high,1,traz_high_1,aorta,206552,192317,458699350,8,2.4,0.3593,99854,0.060587094,0.00907039286425
traz_high,1,traz_high_1,aorta,206552,192317,458699350,9,1.9,0.2065,60270,0.063628694,0.00691543437421053
traz_high,1,traz_high_1,aorta,206552,192317,458699350,10,2.4,0.2361,69773,0.064426314,0.00633793863975
traz_high,1,traz_high_1,aorta,206552,192317,458699350,11,2.3,0.1845,45917,0.054256155,0.00435228721630435
control,2,control_1,aorta,125598,131517,308538000,1,1.9,0.4153,182410,0.142356746,0.0311161876914737
control,2,control_1,aorta,125598,131517,308538000,2,1.5,0.3007,123083,0.132664885,0.0265948872796667
control,2,control_1,aorta,125598,131517,308538000,3,2.2,0.4156,170719,0.133136661,0.0251507255961818
control,2,control_1,aorta,125598,131517,308538000,4,1.8,0.3159,125749,0.129016797,0.0226424478735
control,2,control_1,aorta,125598,131517,308538000,5,2.3,0.4288,154850,0.117043627,0.0218210031554783
control,2,control_1,aorta,125598,131517,308538000,6,2.5,0.3694,146717,0.128728553,0.01902093099128
control,2,control_1,aorta,125598,131517,308538000,7,2,0.2945,118496,0.130409651,0.01920282110975
control,2,control_1,aorta,125598,131517,308538000,8,1.9,0.2723,103152,0.122778225,0.0175960582460526
control,2,control_1,aorta,125598,131517,308538000,9,1.8,0.2185,85174,0.126341766,0.015336486595
control,2,control_1,aorta,125598,131517,308538000,10,1.9,0.2066,86831,0.136218416,0.0148119603924211
control,2,control_1,aorta,125598,131517,308538000,11,2,0.1828,72534,0.128604681,0.0117544678434
control,3,control_2,aorta,134761,146006,407112150,1,1.8,0.2765,100047,0.088878122,0.0136526670738889
control,3,control_2,aorta,134761,146006,407112150,2,1.9,0.2428,94446,0.095547829,0.0122100067795789
